Index	Date	Location	Deaths	Magnitude
1	February 27 2010.	"""Chile"""	0	8.8
2	25 June 1976.	"""Papua, Indonesia"""	422	7.1
3	22 May 1971.	"""Turkey"""	1000	6.9
4	6 May 1976.	"""northeastern Italy"""	1000	6.5
5	10 October 1986.	"""El Salvador"""	1000	5.5
6	6 March 1987.	"""Colombia-Ecuador"""	1000	7
7	20 August 1988.	"""Nepal-India border region"""	1000	6.8
8	25 March 2002.	"""Hindu Kush Region, Afghanistan"""	1000	6.1
9	28 March 1970.	"""Gediz, Turkey"""	1086	6.9
10	25 January 1999.	"""Colombia"""	1185	6.1
11	28 March 2005.	"""Northern Sumatra, Indonesia"""	1313	8.6
12	30 October 1983.	"""Turkey"""	1342	6.9
13	4 March 1977.	"""Romania"""	1500	7.2
14	28 July 1981.	"""southern Iran"""	1500	7.3
15	10 May 1997.	"""Northern Iran"""	1567	7.3
16	16 July 1990.	"""Luzon, Philippine Islands"""	1621	7.7
17	27 May 1995.	"""Sakhalin Island"""	1989	7.5
18	4 February 1975.	"""Haicheng, China"""	2000	7
19	19 October 1991.	"""Northern India"""	2000	7
20	17 July 1998.	"""Papua New Guinea"""	2183	7
21	21 May 2003.	"""Northern Algeria"""	2266	6.8
22	6 September 1975.	"""Turkey"""	2300	6.7
23	4 February 1998.	"""Hindu Kush region, Afghanistan"""	2323	5.9
24	20 September 1999.	"""Taiwan"""	2400	7.6
25	12 December 1992.	"""Flores Region, Indonesia"""	2500	7.5
26	23 November 1980.	"""southern Italy"""	2735	6.5
27	13 December 1982.	"""Yemen"""	2800	6
28	11 June 1981.	"""southern Iran"""	3000	6.9
29	30 May 1998.	"""Afghanistan-Tajikistan Border Region"""	4000	6.6
30	23 December 1972.	"""Nicaragua, Managua"""	5000	6.2
31	24 November 1976.	"""Turkey-Iran border region"""	5000	7.3
32	10 October 1980.	"""El Asnam, Algeria"""	5000	7.7
33	10 April 1972.	"""southern Iran"""	5054	7.1
34	28 December 1974.	"""Pakistan"""	5300	6.2
35	16 January 1995.	"""Kobe, Japan"""	5502	6.9
36	26 May 2006.	"""Indonesia"""	5749	6.3
37	16 August 1976.	"""Mindanao, Philippines"""	8000	7.9
38	April 25 1015	"""Nepal"""	8500	7.9
39	19 September 1985.	"""Mexico, Michoacan"""	9500	8
40	29 September 1993.	"""Latur-Killari, India"""	9748	6.2
41	4 January 1970.	"""Tonghai, Yunnan Province, China"""	10000	7.5
